X,Y,Distance
6.220000000000001137e+02,2.058000000000000000e+03,4.125655915175940880e-02
5.700000000000001137e+02,2.108000000000000000e+03,8.938888888888889994e+00
5.650000000000001137e+02,2.113000000000000000e+03,9.740169447492437627e+00
3.710000000000001137e+02,2.280000000000000000e+03,3.390555555555556566e+01
3.230000000000001705e+02,2.323000000000000000e+03,4.007132923262106772e+01
2.380000000000001421e+02,2.398000000000000000e+03,5.179444444444445850e+01
1.360000000000001421e+02,2.491000000000000000e+03,6.695547430439728487e+01
9.200000000000015632e+01,2.529000000000000000e+03,7.332777777777778283e+01
1.600000000000015987e+01,2.598000000000000000e+03,8.310734413995136549e+01
-6.899999999999982947e+01,2.674000000000000000e+03,9.127222222222222570e+01
-2.779999999999998295e+02,2.862000000000000000e+03,1.100330967531521082e+02
-3.339999999999998295e+02,2.912000000000000000e+03,1.199833333333333485e+02
-3.979999999999998295e+02,2.969000000000000000e+03,1.386732842412475861e+02
-4.639999999999998295e+02,3.028000000000000000e+03,1.486055555555555827e+02
-5.709999999999997726e+02,3.124000000000000000e+03,1.619662853457206211e+02
-6.759999999999997726e+02,3.217000000000000000e+03,1.758684980699320306e+02
-7.069999999999997726e+02,3.245000000000000000e+03,1.800055555555555600e+02
-8.059999999999997726e+02,3.335000000000000000e+03,1.926948899783741922e+02
-8.439999999999997726e+02,3.370000000000000000e+03,1.976722222222222456e+02
-9.109999999999997726e+02,3.430000000000000000e+03,2.062159265703321012e+02
-9.459999999999997726e+02,3.462000000000000000e+03,2.107277777777777885e+02
-9.879999999999997726e+02,3.500000000000000000e+03,2.159210460219389915e+02
-1.084999999999999773e+03,3.589000000000000000e+03,2.282388888888889085e+02
-1.127999999999999773e+03,3.626000000000000000e+03,2.335644235421198118e+02
-1.201999999999999773e+03,3.686000000000000000e+03,2.428941751801371254e+02
-1.205999999999999773e+03,3.689000000000000000e+03,2.434388888888888971e+02
-1.229999999999999773e+03,3.706000000000000000e+03,2.464949956075448085e+02
-1.274999999999999773e+03,3.734000000000000000e+03,2.522722222222222399e+02
-1.341999999999999773e+03,3.765000000000000000e+03,2.601202664355844263e+02
-1.345999999999999773e+03,3.766000000000000000e+03,2.606055555555555543e+02
-1.416999999999999773e+03,3.785000000000000000e+03,2.679601651835045004e+02
-1.494999999999999773e+03,3.792000000000000000e+03,2.757166666666666970e+02
-1.497999999999999773e+03,3.793000000000000000e+03,2.759987487770982852e+02
-1.568999999999999773e+03,3.788000000000000000e+03,2.827999500310269241e+02
-1.678999999999999773e+03,3.752000000000000000e+03,2.903833333333333258e+02
-1.690999999999999773e+03,3.748000000000000000e+03,2.912994387424654406e+02
-1.761999999999999773e+03,3.705000000000000000e+03,2.994833333333333485e+02
-1.782999999999999773e+03,3.689000000000000000e+03,3.028753868143882642e+02
-1.810999999999999773e+03,3.665000000000000000e+03,3.081944444444444571e+02
-1.836999999999999773e+03,3.640000000000000000e+03,3.131722222222222172e+02
-1.845999999999999773e+03,3.630000000000000000e+03,3.146622740461127705e+02
-1.865999999999999773e+03,3.606000000000000000e+03,3.177578706416442174e+02
-1.889999999999999773e+03,3.574000000000000000e+03,3.218833333333333258e+02
-1.928999999999999773e+03,3.506000000000000000e+03,3.292356761887136258e+02
-1.963999999999999773e+03,3.411000000000000000e+03,3.361833333333332803e+02
-1.965999999999999773e+03,3.408000000000000000e+03,3.364824690839984669e+02
-1.980999999999999773e+03,3.364000000000000000e+03,3.443166666666666060e+02
-1.986999999999999773e+03,3.305000000000000000e+03,3.512159283807865791e+02
-1.992999999999999773e+03,3.197000000000000000e+03,3.577166666666666401e+02
-1.993999999999999773e+03,3.193000000000000000e+03,3.580616976720796742e+02
-1.989999999999999773e+03,3.123000000000000000e+03,3.698043722430881530e+02
-1.988999999999999773e+03,3.119000000000000000e+03,3.702499999999999432e+02
-1.967999999999999773e+03,3.000000000000000000e+03,3.824651764123202611e+02
-1.963999999999999773e+03,2.986000000000000000e+03,3.838499999999999659e+02
-1.934999999999999773e+03,2.901000000000000000e+03,3.935951526691587219e+02
-1.922999999999999773e+03,2.870000000000000000e+03,3.989611111111111086e+02
-1.906999999999999773e+03,2.838000000000000000e+03,4.033255512239936706e+02
-1.828999999999999773e+03,2.706000000000000000e+03,4.128833333333333258e+02
-1.797999999999999773e+03,2.654000000000000000e+03,4.174300304781421573e+02
-1.774999999999999773e+03,2.618000000000000000e+03,4.232166666666666970e+02
-1.753999999999999773e+03,2.593000000000000000e+03,4.318388888888889028e+02
-1.746999999999999773e+03,2.584000000000000000e+03,4.334244687107457139e+02
-1.699999999999999773e+03,2.523000000000000000e+03,4.411658234372742982e+02
-1.672999999999999773e+03,2.491000000000000000e+03,4.451722222222222740e+02
-1.608999999999999773e+03,2.421000000000000000e+03,4.549579449143860757e+02
-1.561999999999999773e+03,2.374000000000000000e+03,4.616419444444445048e+02
-1.480999999999999773e+03,2.294000000000000000e+03,4.732247895412284606e+02
-1.377999999999999773e+03,2.188000000000000000e+03,4.882127058981952246e+02
-1.371999999999999773e+03,2.182000000000000000e+03,4.889575000000000387e+02
-1.305999999999999773e+03,2.105000000000000000e+03,4.993023559904594322e+02
-1.258999999999999773e+03,2.038000000000000000e+03,5.078666935898020824e+02
-1.241999999999999773e+03,2.005000000000000000e+03,5.110575000000000045e+02
-1.191999999999999773e+03,1.875000000000000000e+03,5.208797222222221990e+02
-1.170000000000000000e+03,1.804000000000000000e+03,5.274251070909995178e+02
-1.159000000000000000e+03,1.741000000000000000e+03,5.377574999999999363e+02
-1.159000000000000000e+03,1.708000000000000000e+03,5.430549550972000361e+02
-1.158000000000000000e+03,1.647000000000000000e+03,5.498130555555555929e+02
-1.163000000000000000e+03,1.587000000000000000e+03,5.551382197309941375e+02
-1.199000000000000000e+03,1.423000000000000000e+03,5.668463888888888960e+02
-1.245000000000000000e+03,1.284000000000000000e+03,5.772722024743692373e+02
-1.275000000000000000e+03,1.210000000000000000e+03,5.843463888888888960e+02
-1.369000000000000000e+03,1.056000000000000000e+03,6.069583167921707627e+02
-1.372000000000000000e+03,1.051000000000000000e+03,6.077463888888889869e+02
-1.458000000000000000e+03,9.430000000000001137e+02,6.267556021358824410e+02
-1.488000000000000000e+03,9.100000000000001137e+02,6.315463888888889414e+02
-1.568000000000000000e+03,8.350000000000001137e+02,6.422575000000000500e+02
-1.573000000000000000e+03,8.320000000000001137e+02,6.427956334418796587e+02
-1.673000000000000000e+03,7.580000000000001137e+02,6.549725132410038668e+02
-1.749000000000000000e+03,7.110000000000001137e+02,6.640352777777778783e+02
-1.831000000000000000e+03,6.710000000000001137e+02,6.729598730950649497e+02
-1.980000000000000000e+03,6.170000000000001137e+02,6.865241666666668152e+02
-2.059000000000000000e+03,5.980000000000001137e+02,6.928429182386283856e+02
-2.203000000000000000e+03,5.720000000000001137e+02,7.035908333333335349e+02
-2.379000000000000000e+03,5.530000000000001137e+02,7.178686111111112496e+02
-2.406000000000000000e+03,5.510000000000001137e+02,7.214009139945588913e+02
-2.460000000000000000e+03,5.460000000000001137e+02,7.353352777777779465e+02
-2.479000000000000000e+03,5.450000000000001137e+02,7.389553286772849106e+02
-2.707000000000000000e+03,5.260000000000001137e+02,7.623352777777779465e+02
-2.746000000000000000e+03,5.240000000000001137e+02,7.660728736942024852e+02
-2.867000000000000000e+03,5.160000000000002274e+02,7.783552231205168255e+02
-2.920000000000000000e+03,5.120000000000002274e+02,7.838019444444446435e+02
-3.035000000000000000e+03,5.050000000000001705e+02,7.952207983343437263e+02
-3.043000000000000000e+03,5.040000000000001705e+02,7.960686111111111813e+02
-3.251000000000000000e+03,4.920000000000002274e+02,8.170968437489526650e+02
-3.290000000000000000e+03,4.890000000000002274e+02,8.211352777777779011e+02
-3.425000000000000000e+03,4.820000000000002274e+02,8.346198647332520295e+02
-3.577000000000000000e+03,4.740000000000002274e+02,8.500352777777779920e+02
-3.585000000000000000e+03,4.740000000000002274e+02,8.507658660788073348e+02
-3.730000000000000000e+03,4.680000000000002274e+02,8.654564261791059607e+02
-3.895000000000000000e+03,4.610000000000002274e+02,8.795352777777779920e+02
-3.975000000000000000e+03,4.580000000000002274e+02,8.869046137949892454e+02
-4.133000000000000000e+03,4.520000000000002274e+02,9.061130555555557748e+02
-4.140000000000000000e+03,4.520000000000002274e+02,9.068613623280607499e+02
-4.314000000000000000e+03,4.440000000000002842e+02,9.261963888888890324e+02
-4.441000000000000000e+03,4.390000000000002842e+02,9.370111400832187201e+02
-4.577000000000000000e+03,4.330000000000002842e+02,9.465297222222224036e+02
-4.695000000000000000e+03,4.290000000000002842e+02,9.556362093487379070e+02
-4.780000000000000000e+03,4.250000000000002842e+02,9.669111111111113814e+02
-4.849000000000000000e+03,4.230000000000002842e+02,9.779167706377700142e+02
-4.937000000000000000e+03,4.190000000000002842e+02,9.875777777777778965e+02
-5.084000000000000000e+03,4.140000000000002842e+02,1.001400000000000091e+03
-5.108000000000000000e+03,4.140000000000003411e+02,1.003826738037319387e+03
-5.238000000000000000e+03,4.080000000000003411e+02,1.018788888888888891e+03
-5.316000000000000000e+03,4.060000000000003411e+02,1.024722807840698351e+03
-5.587000000000000000e+03,3.960000000000003411e+02,1.039788888888889005e+03
-5.598000000000000000e+03,3.960000000000003411e+02,1.040492386077542733e+03
-5.783000000000000000e+03,3.890000000000003411e+02,1.064522222222222126e+03
-5.863000000000000000e+03,3.870000000000003411e+02,1.079396179020331147e+03
-5.884000000000000000e+03,3.860000000000003411e+02,1.082244444444444525e+03
-6.077000000000000000e+03,3.800000000000003979e+02,1.102698915954926633e+03
-6.087000000000000000e+03,3.790000000000003979e+02,1.103777777777777828e+03
-6.238000000000000000e+03,3.740000000000003979e+02,1.118878013643376107e+03
-6.328000000000000000e+03,3.710000000000003979e+02,1.127875070048483849e+03
-6.440000000000000000e+03,3.670000000000003979e+02,1.136177777777777692e+03
-6.725000000000000000e+03,3.570000000000003979e+02,1.155039036601885755e+03
-6.830000000000000000e+03,3.530000000000003979e+02,1.168877777777777737e+03
-6.925000000000000000e+03,3.500000000000003979e+02,1.187866037240811920e+03
-7.095000000000000000e+03,3.430000000000004547e+02,1.205433333333333394e+03
-7.199000000000000000e+03,3.400000000000004547e+02,1.215326716109181916e+03
-7.236000000000000000e+03,3.390000000000004547e+02,1.218993257681124987e+03
-7.326000000000000000e+03,3.360000000000004547e+02,1.227433333333333167e+03
-7.438000000000000000e+03,3.320000000000004547e+02,1.237445797476586449e+03
-7.561000000000000000e+03,3.270000000000004547e+02,1.249500000000000000e+03
-7.705000000000000000e+03,3.220000000000004547e+02,1.264255555555555475e+03
-7.751000000000000000e+03,3.210000000000004547e+02,1.268779200440154227e+03
-7.899000000000000000e+03,3.160000000000005116e+02,1.283569513489314431e+03
-7.956000000000000000e+03,3.130000000000005116e+02,1.290155555555555338e+03
-8.084000000000000000e+03,3.090000000000005116e+02,1.304020903409148559e+03
-8.096000000000000000e+03,3.080000000000005116e+02,1.305044444444444252e+03
-8.427000000000000000e+03,2.970000000000005116e+02,1.327377777777777737e+03
-8.438000000000000000e+03,2.970000000000005116e+02,1.328218810945008727e+03
-8.719000000000000000e+03,2.860000000000005116e+02,1.361177777777777692e+03
-8.738000000000000000e+03,2.860000000000005116e+02,1.363891763239577358e+03
-8.870000000000000000e+03,2.810000000000005684e+02,1.383577777777777555e+03
-9.054000000000000000e+03,2.750000000000005684e+02,1.402244444444444525e+03
-9.092000000000000000e+03,2.740000000000005684e+02,1.404959409979557222e+03
-9.345000000000000000e+03,2.650000000000005684e+02,1.420744444444444525e+03
-9.379000000000000000e+03,2.640000000000005684e+02,1.423293129203483431e+03
-9.473000000000000000e+03,2.610000000000005684e+02,1.437411111111111040e+03
-9.536000000000000000e+03,2.590000000000005684e+02,1.448402766339428808e+03
-9.803000000000000000e+03,2.490000000000005969e+02,1.466222023359215655e+03
-9.810000000000000000e+03,2.480000000000005969e+02,1.466866666666666788e+03
-9.915000000000000000e+03,2.450000000000005969e+02,1.483627079060933738e+03
-9.919000000000000000e+03,2.440000000000005969e+02,1.484200000000000045e+03
-9.994000000000000000e+03,2.420000000000006253e+02,1.492384166666666488e+03
-1.007000000000000000e+04,2.420000000000006253e+02,1.499080569304613164e+03
-1.014200000000000000e+04,2.450000000000006253e+02,1.506161944444444316e+03
-1.016100000000000000e+04,2.470000000000006253e+02,1.508054746069619341e+03
-1.020500000000000000e+04,2.520000000000006253e+02,1.512477777777777646e+03
-1.022400000000000000e+04,2.550000000000006253e+02,1.514324544778093241e+03
-1.027500000000000000e+04,2.640000000000006253e+02,1.519539534184643117e+03
-1.029300000000000000e+04,2.670000000000006253e+02,1.521411111111111040e+03
-1.033700000000000000e+04,2.790000000000006253e+02,1.525867217182529657e+03
-1.037300000000000000e+04,2.890000000000006253e+02,1.529677777777777692e+03
-1.040200000000000000e+04,2.980000000000006253e+02,1.532664136033487466e+03
-1.042400000000000000e+04,3.050000000000006253e+02,1.535055555555555429e+03
-1.046200000000000000e+04,3.210000000000006253e+02,1.539120791880669231e+03
-1.047100000000000000e+04,3.250000000000006253e+02,1.540122222222222035e+03
-1.050800000000000000e+04,3.420000000000006253e+02,1.544115184247846400e+03
-1.053700000000000000e+04,3.580000000000006253e+02,1.547588888888888732e+03
-1.056000000000000000e+04,3.720000000000006253e+02,1.550303072837248237e+03
-1.058600000000000000e+04,3.920000000000006253e+02,1.553755555555555475e+03
-1.061000000000000000e+04,4.120000000000006253e+02,1.557105271165569093e+03
-1.066700000000000000e+04,4.800000000000006253e+02,1.567566666666666606e+03
-1.067600000000000000e+04,5.020000000000006821e+02,1.569107455287030007e+03
-1.070100000000000000e+04,5.890000000000006821e+02,1.574308895600179312e+03
-1.070400000000000000e+04,6.010000000000006821e+02,1.575366666666666561e+03
-1.070700000000000000e+04,6.300000000000006821e+02,1.580788888888888778e+03
-1.070800000000000000e+04,6.460000000000006821e+02,1.583948287837484258e+03
-1.070900000000000000e+04,7.240000000000006821e+02,1.592699999999999818e+03
-1.071000000000000000e+04,7.600000000000006821e+02,1.595264579774142476e+03
