X,Y,Distance
7.946074165920853147e+02,3.379537402292930892e+03,9.770965616269222664e-04
8.651097256542906280e+02,3.354508930168223287e+03,7.562739615264828963e+00
9.156057250453879988e+02,3.334455151334938819e+03,1.296500000000000163e+01
9.745177243350018443e+02,3.311059076029439893e+03,1.940718895300727809e+01
1.113420474077417566e+03,3.248528874414573693e+03,3.476856582125591189e+01
1.189879434158784079e+03,3.211272634356349954e+03,4.366499999999999915e+01
1.251272289628835779e+03,3.179762044116982452e+03,5.016924295259691746e+01
1.332447472639144280e+03,3.134335293592176640e+03,5.735388888888888914e+01
1.512814271014299948e+03,3.030504575382698931e+03,7.104277777777778624e+01
1.608004624444925412e+03,2.973095546356311843e+03,7.935703550253357719e+01
1.662165912573967262e+03,2.938634628373719806e+03,8.486500000000000909e+01
1.816121785997150937e+03,2.834123437401151477e+03,1.047983333333333320e+02
1.863632969413394449e+03,2.802065872765202130e+03,1.109276045297766302e+02
1.963427554707536046e+03,2.732015599775225382e+03,1.233316666666666777e+02
2.094896262279173698e+03,2.640593617027949222e+03,1.396650000000000205e+02
2.101959843022044879e+03,2.636837844525662149e+03,1.406742683895376160e+02
2.210170428214702952e+03,2.563445275063471399e+03,1.612215650552472539e+02
2.218943908610579456e+03,2.556515192687108538e+03,1.624427777777777919e+02
2.284527519914074674e+03,2.513715777639796670e+03,1.695128567875561885e+02
2.386725458554858506e+03,2.450315609362618034e+03,1.813378803097057244e+02
2.429464423509447442e+03,2.424193188444747193e+03,1.861761111111111120e+02
2.445357480180908169e+03,2.415742700314600825e+03,1.878549093880654652e+02
2.510695602052468530e+03,2.381001804668444947e+03,1.950094444444444264e+02
2.587680029229333741e+03,2.346863878951583956e+03,2.033427777777777692e+02
2.594330133942132306e+03,2.344460525604941267e+03,2.040248392212942576e+02
2.684838752675445448e+03,2.314457360188810526e+03,2.141538888888888721e+02
2.730674524670313986e+03,2.304809458570611696e+03,2.192962805034931080e+02
2.778388182916325604e+03,2.298693347323848229e+03,2.246538888888888721e+02
2.786446702317481595e+03,2.298938836755782631e+03,2.252764706287893830e+02
2.906084065244603153e+03,2.306678435701734088e+03,2.338747310387086031e+02
2.914612056208545255e+03,2.307806872726527672e+03,2.347230555555555327e+02
2.987586695080652589e+03,2.327899211601967636e+03,2.457488329196349923e+02
2.988056166643438701e+03,2.328782159194826363e+03,2.459230555555555213e+02
3.053553748742601329e+03,2.353982689728199148e+03,2.528674999999999784e+02
3.059432896927966794e+03,2.356519541441350157e+03,2.534182957174459432e+02
3.121041208158333575e+03,2.387185744130013973e+03,2.602058049080658861e+02
3.131033609343346143e+03,2.393198390681888213e+03,2.610008333333333326e+02
3.220082272415599164e+03,2.447781681211539308e+03,2.666507019477359108e+02
3.262868706532364740e+03,2.477129952976188179e+03,2.748119444444444071e+02
3.277857308309883138e+03,2.486148922803999540e+03,2.776911006168942322e+02
3.327819314234945523e+03,2.516212155563368924e+03,2.834945969549352185e+02
3.343690863605323102e+03,2.524761653828394174e+03,2.853119444444444071e+02
3.385727848495738272e+03,2.542050144257665579e+03,2.899733701998982838e+02
3.391137525118317626e+03,2.543704048377957861e+03,2.906452777777777214e+02
3.442774942464754986e+03,2.551357618119577182e+03,2.960198992557436668e+02
3.448128623554621299e+03,2.550776155491365444e+03,2.966202777777777442e+02
3.489549657585195291e+03,2.543475611687095807e+03,3.010388907684604192e+02
3.494847343142348564e+03,2.540658782310380502e+03,3.016202777777777442e+02
3.554474303426682582e+03,2.510087135196584768e+03,3.070869444444443843e+02
3.563303779355272127e+03,2.505392419568725927e+03,3.078871380370205770e+02
3.606701709771868082e+03,2.469859060094053348e+03,3.132313888888888300e+02
3.634564064014363794e+03,2.439188402845378732e+03,3.173172438654000871e+02
3.634094592451578137e+03,2.438305455252520005e+03,3.173980555555555156e+02
3.707262797033432435e+03,2.305397916571420865e+03,3.322869444444444298e+02
3.710157129243943928e+03,2.295930982481906995e+03,3.341749640235143488e+02
3.710704103640525773e+03,2.282049310428099034e+03,3.378869444444444525e+02
3.711531055700671914e+03,2.279344472116809357e+03,3.386191745083445426e+02
3.713619943152119959e+03,2.255582389943414000e+03,3.428202777777777897e+02
