,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
105,0 days 00:34:46.902000,LEC,16,0 days 00:01:26.573000,1.0,1.0,,,,0 days 00:00:28.626000,0 days 00:00:28.449000,,0 days 00:34:18.597000,0 days 00:34:47.379000,314.0,306.0,303.0,286.0,False,SOFT,4.0,False,Ferrari,0 days 00:33:20.098000,2019-09-08 13:13:21.425,2,1.0,False,,False,False
106,0 days 00:36:12.096000,LEC,16,0 days 00:01:25.194000,2.0,1.0,,,0 days 00:00:28.169000,0 days 00:00:28.608000,0 days 00:00:28.417000,0 days 00:35:15.071000,0 days 00:35:43.679000,0 days 00:36:12.096000,305.0,307.0,304.0,310.0,True,SOFT,5.0,False,Ferrari,0 days 00:34:46.902000,2019-09-08 13:14:48.229,1,1.0,False,,False,True
107,0 days 00:37:37.050000,LEC,16,0 days 00:01:24.954000,3.0,1.0,,,0 days 00:00:28.023000,0 days 00:00:28.592000,0 days 00:00:28.339000,0 days 00:36:40.119000,0 days 00:37:08.711000,0 days 00:37:37.050000,308.0,309.0,305.0,313.0,True,SOFT,6.0,False,Ferrari,0 days 00:36:12.096000,2019-09-08 13:16:13.423,2,1.0,False,,False,True
108,0 days 00:39:01.999000,LEC,16,0 days 00:01:24.949000,4.0,1.0,,,0 days 00:00:27.903000,0 days 00:00:28.565000,0 days 00:00:28.481000,0 days 00:38:04.953000,0 days 00:38:33.518000,0 days 00:39:01.999000,311.0,311.0,304.0,316.0,True,SOFT,7.0,False,Ferrari,0 days 00:37:37.050000,2019-09-08 13:17:38.377,1,1.0,False,,False,True
109,0 days 00:40:26.906000,LEC,16,0 days 00:01:24.907000,5.0,1.0,,,0 days 00:00:27.917000,0 days 00:00:28.665000,0 days 00:00:28.325000,0 days 00:39:29.916000,0 days 00:39:58.581000,0 days 00:40:26.906000,,312.0,305.0,317.0,True,SOFT,8.0,False,Ferrari,0 days 00:39:01.999000,2019-09-08 13:19:03.326,1,1.0,False,,False,True
110,0 days 00:41:51.806000,LEC,16,0 days 00:01:24.900000,6.0,1.0,,,0 days 00:00:27.836000,0 days 00:00:28.616000,0 days 00:00:28.448000,0 days 00:40:54.742000,0 days 00:41:23.358000,0 days 00:41:51.806000,312.0,313.0,305.0,,True,SOFT,9.0,False,Ferrari,0 days 00:40:26.906000,2019-09-08 13:20:28.233,2,1.0,False,,False,True
111,0 days 00:43:16.868000,LEC,16,0 days 00:01:25.062000,7.0,1.0,,,0 days 00:00:27.977000,0 days 00:00:28.694000,0 days 00:00:28.391000,0 days 00:42:19.783000,0 days 00:42:48.477000,0 days 00:43:16.868000,310.0,311.0,306.0,314.0,False,SOFT,10.0,False,Ferrari,0 days 00:41:51.806000,2019-09-08 13:21:53.133,2,1.0,False,,False,True
112,0 days 00:44:41.892000,LEC,16,0 days 00:01:25.024000,8.0,1.0,,,0 days 00:00:28.014000,0 days 00:00:28.682000,0 days 00:00:28.328000,0 days 00:43:44.882000,0 days 00:44:13.564000,0 days 00:44:41.892000,312.0,313.0,306.0,315.0,False,SOFT,11.0,False,Ferrari,0 days 00:43:16.868000,2019-09-08 13:23:18.195,1,1.0,False,,False,True
113,0 days 00:46:06.879000,LEC,16,0 days 00:01:24.987000,9.0,1.0,,,0 days 00:00:28.032000,0 days 00:00:28.616000,0 days 00:00:28.339000,0 days 00:45:09.924000,0 days 00:45:38.540000,0 days 00:46:06.879000,313.0,314.0,306.0,,False,SOFT,12.0,False,Ferrari,0 days 00:44:41.892000,2019-09-08 13:24:43.219,1,1.0,False,,False,True
114,0 days 00:47:31.889000,LEC,16,0 days 00:01:25.010000,10.0,1.0,,,0 days 00:00:28.047000,0 days 00:00:28.613000,0 days 00:00:28.350000,0 days 00:46:34.926000,0 days 00:47:03.539000,0 days 00:47:31.889000,,316.0,306.0,316.0,False,SOFT,13.0,False,Ferrari,0 days 00:46:06.879000,2019-09-08 13:26:08.206,1,1.0,False,,False,True
115,0 days 00:48:56.815000,LEC,16,0 days 00:01:24.926000,11.0,1.0,,,0 days 00:00:28.077000,0 days 00:00:28.567000,0 days 00:00:28.282000,0 days 00:47:59.966000,0 days 00:48:28.533000,0 days 00:48:56.815000,,316.0,306.0,,False,SOFT,14.0,False,Ferrari,0 days 00:47:31.889000,2019-09-08 13:27:33.216,1,1.0,False,,False,True
116,0 days 00:50:21.497000,LEC,16,0 days 00:01:24.682000,12.0,1.0,,,0 days 00:00:27.987000,0 days 00:00:28.443000,0 days 00:00:28.252000,0 days 00:49:24.802000,0 days 00:49:53.245000,0 days 00:50:21.497000,,315.0,306.0,317.0,True,SOFT,15.0,False,Ferrari,0 days 00:48:56.815000,2019-09-08 13:28:58.142,1,1.0,False,,False,True
117,0 days 00:51:46.404000,LEC,16,0 days 00:01:24.907000,13.0,1.0,,,0 days 00:00:27.998000,0 days 00:00:28.612000,0 days 00:00:28.297000,0 days 00:50:49.495000,0 days 00:51:18.107000,0 days 00:51:46.404000,,316.0,306.0,,False,SOFT,16.0,False,Ferrari,0 days 00:50:21.497000,2019-09-08 13:30:22.824,1,1.0,False,,False,True
118,0 days 00:53:11.379000,LEC,16,0 days 00:01:24.975000,14.0,1.0,,,0 days 00:00:28.105000,0 days 00:00:28.569000,0 days 00:00:28.301000,0 days 00:52:14.509000,0 days 00:52:43.078000,0 days 00:53:11.379000,311.0,314.0,306.0,315.0,False,SOFT,17.0,False,Ferrari,0 days 00:51:46.404000,2019-09-08 13:31:47.731,1,1.0,False,,False,True
119,0 days 00:54:36.317000,LEC,16,0 days 00:01:24.938000,15.0,1.0,,,0 days 00:00:28.015000,0 days 00:00:28.603000,0 days 00:00:28.320000,0 days 00:53:39.394000,0 days 00:54:07.997000,0 days 00:54:36.317000,315.0,317.0,307.0,319.0,False,SOFT,18.0,False,Ferrari,0 days 00:53:11.379000,2019-09-08 13:33:12.706,1,1.0,False,,False,True
120,0 days 00:56:01.213000,LEC,16,0 days 00:01:24.896000,16.0,1.0,,,0 days 00:00:27.994000,0 days 00:00:28.627000,0 days 00:00:28.275000,0 days 00:55:04.311000,0 days 00:55:32.938000,0 days 00:56:01.213000,,317.0,308.0,,False,SOFT,19.0,False,Ferrari,0 days 00:54:36.317000,2019-09-08 13:34:37.644,1,1.0,False,,False,True
121,0 days 00:57:26.148000,LEC,16,0 days 00:01:24.935000,17.0,1.0,,,0 days 00:00:27.922000,0 days 00:00:28.628000,0 days 00:00:28.385000,0 days 00:56:29.135000,0 days 00:56:57.763000,0 days 00:57:26.148000,,318.0,308.0,320.0,False,SOFT,20.0,False,Ferrari,0 days 00:56:01.213000,2019-09-08 13:36:02.540,1,1.0,False,,False,True
