,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2,2019-09-07 13:54:56.654,0 days 01:09:55.561000,,563.0361111111112,0 days 00:00:00,11705,325,8,100,False,8,interpolation,0.137930686169359,2.383050064159168e-05,OnTrack,-1408,-904,1870
3,2019-09-07 13:54:56.702,0 days 01:09:55.609000,,563.0361111111112,0 days 00:00:00.048000,11723,326,8,100,False,8,car,4.475555555555559,0.0007732487418150684,OnTrack,-1404,-855,1871
4,2019-09-07 13:54:56.770,0 days 01:09:55.677000,,563.0361111111112,0 days 00:00:00.116000,11742,325,8,100,False,8,pos,10.614522658612668,0.0018338877015059078,OnTrack,-1398,-789,1872
5,2019-09-07 13:54:56.942,0 days 01:09:55.849000,5,563.0361111111112,0 days 00:00:00.288000,11762,325,8,100,False,8,car,26.142222222222223,0.004516632670661598,OnTrack,-1382,-637,1872
6,2019-09-07 13:54:57.070,0 days 01:09:55.977000,5,563.6004166666667,0 days 00:00:00.416000,11749,326,8,100,False,8,pos,37.74911915042083,0.006521974428729142,OnTrack,-1372,-530,1873
7,2019-09-07 13:54:57.181,0 days 01:09:56.088000,5,564.1647222222223,0 days 00:00:00.527000,11736,327,8,100,False,8,car,47.85138888888889,0.008267359391060864,OnTrack,-1362,-434,1873
8,2019-09-07 13:54:57.369,0 days 01:09:56.276000,5,564.5834722222222,0 days 00:00:00.715000,11772,328,8,100,False,8,pos,65.0306232026099,0.011235442605208805,OnTrack,-1347,-272,1874
9,2019-09-07 13:54:57.382,0 days 01:09:56.289000,5,565.0022222222221,0 days 00:00:00.728000,11809,329,8,100,False,8,car,66.22055555555555,0.011441029081197943,OnTrack,-1345,-261,1874
10,2019-09-07 13:54:57.622,0 days 01:09:56.529000,5,565.9355555555555,0 days 00:00:00.968000,11852,330,8,100,False,14,car,88.22055555555555,0.015242003532026727,OnTrack,-1325,-62,1875
11,2019-09-07 13:54:57.669,0 days 01:09:56.576000,5,566.3355555555556,0 days 00:00:01.015000,11868,330,8,100,False,14,pos,92.53545241881967,0.015987495019991645,OnTrack,-1322,-23,1876
12,2019-09-07 13:54:57.862,0 days 01:09:56.769000,5,566.7355555555556,0 days 00:00:01.208000,11884,331,8,100,False,12,car,110.28722222222221,0.01905449608725196,OnTrack,-1305,143,1876
13,2019-09-07 13:54:57.969,0 days 01:09:56.876000,5,566.9688888888888,0 days 00:00:01.315000,11934,332,8,100,False,12,pos,120.16672680484463,0.02076139356476986,OnTrack,-1297,235,1877
14,2019-09-07 13:54:58.102,0 days 01:09:57.009000,5,567.2022222222222,0 days 00:00:01.448000,11985,333,8,100,False,12,car,132.48722222222221,0.022890024851270098,OnTrack,-1286,344,1877
15,2019-09-07 13:54:58.269,0 days 01:09:57.176000,5,567.3355555555555,0 days 00:00:01.615000,12010,334,8,100,False,12,pos,148.0191983891947,0.025573508695885736,OnTrack,-1272,484,1879
16,2019-09-07 13:54:58.342,0 days 01:09:57.249000,5,567.4688888888888,0 days 00:00:01.688000,12036,335,8,100,False,12,car,154.82055555555556,0.026748589824081136,OnTrack,-1265,548,1879
17,2019-09-07 13:54:58.569,0 days 01:09:57.476000,5,567.5022222222221,0 days 00:00:01.915000,12073,335,8,100,False,12,pos,176.00414295275255,0.030408511391064978,OnTrack,-1245,752,1880
18,2019-09-07 13:54:58.582,0 days 01:09:57.489000,5,567.5355555555554,0 days 00:00:01.928000,12111,336,8,100,False,12,car,177.22055555555556,0.030618672901288627,OnTrack,-1243,763,1880
19,2019-09-07 13:54:58.822,0 days 01:09:57.729000,5,567.1355555555555,0 days 00:00:02.168000,12152,338,8,100,False,12,car,199.75388888888892,0.034511792187289024,OnTrack,-1224,962,1880
20,2019-09-07 13:54:58.869,0 days 01:09:57.776000,5,565.602222222222,0 days 00:00:02.215000,12177,339,8,100,False,12,pos,204.18304341622218,0.03527702415079659,OnTrack,-1221,1001,1881
21,2019-09-07 13:54:59.062,0 days 01:09:57.969000,5,564.0688888888888,0 days 00:00:02.408000,12202,340,8,100,False,12,car,222.42055555555555,0.03842794768208231,OnTrack,-1205,1159,1882
22,2019-09-07 13:54:59.169,0 days 01:09:58.076000,5,560.8355555555554,0 days 00:00:02.515000,12235,340,8,100,False,12,pos,232.55812350139615,0.040179431170976894,OnTrack,-1196,1250,1883
23,2019-09-07 13:54:59.302,0 days 01:09:58.209000,5,557.602222222222,0 days 00:00:02.648000,12269,341,8,100,False,12,car,245.1538888888889,0.04235562128127206,OnTrack,-1184,1368,1883
24,2019-09-07 13:54:59.469,0 days 01:09:58.376000,5,553.602222222222,0 days 00:00:02.815000,12263,340,8,100,False,12,pos,260.91218776526296,0.04507820725480032,OnTrack,-1170,1519,1885
25,2019-09-07 13:54:59.542,0 days 01:09:58.449000,5,549.602222222222,0 days 00:00:02.888000,12257,340,8,100,False,12,car,267.82055555555553,0.046271776776065345,OnTrack,-1163,1582,1885
26,2019-09-07 13:54:59.769,0 days 01:09:58.676000,5,544.6894444444443,0 days 00:00:03.115000,12297,341,8,100,False,12,pos,289.4465809246177,0.05000813904428264,OnTrack,-1144,1777,1886
27,2019-09-07 13:54:59.781,0 days 01:09:58.688000,5,539.7766666666666,0 days 00:00:03.127000,12337,343,8,100,False,12,car,290.5919444444444,0.05020602529318138,OnTrack,-1142,1787,1886
28,2019-09-07 13:55:00.021,0 days 01:09:58.928000,5,527.6433333333332,0 days 00:00:03.367000,12341,344,8,100,False,12,car,313.5252777777777,0.054168253205560485,OnTrack,-1121,2002,1886
29,2019-09-07 13:55:00.069,0 days 01:09:58.976000,5,520.8766666666666,0 days 00:00:03.415000,12383,345,8,100,False,12,pos,318.12822178690396,0.05496351104998251,OnTrack,-1116,2056,1887
30,2019-09-07 13:55:00.261,0 days 01:09:59.168000,5,514.1099999999999,0 days 00:00:03.607000,12425,346,8,100,False,12,car,336.5919444444444,0.058153517326732476,OnTrack,-1090,2314,1888
31,2019-09-07 13:55:00.369,0 days 01:09:59.276000,5,506.5452777777777,0 days 00:00:03.715000,12434,346,8,100,False,12,pos,346.9938015399616,0.05995066246587945,OnTrack,-1077,2454,1889
32,2019-09-07 13:55:00.502,0 days 01:09:59.409000,5,498.9805555555555,0 days 00:00:03.848000,12444,347,8,100,False,12,car,359.82166666666654,0.06216695281157412,OnTrack,-1062,2594,1889
33,2019-09-07 13:55:00.669,0 days 01:09:59.576000,5,491.0802777777777,0 days 00:00:04.015000,12461,347,8,100,False,12,pos,375.96462996232435,0.06495599785918604,OnTrack,-1048,2743,1890
