X,Y,Distance
1.857956367105895197e+03,1.769495349828980295e+02,9.164596576643715964e-02
1.887566892030094095e+03,1.599725855009268400e+02,3.355555555555557845e+00
1.975399075975671394e+03,1.090068375583107496e+02,1.363688936027252119e+01
1.997874267123926529e+03,9.578315490749842809e+01,1.642222222222222427e+01
2.103045090095853539e+03,3.541679013863390679e+01,2.962222222222222712e+01
2.160267358290212997e+03,1.393092181286511577e+00,3.518782461959889929e+01
2.346135031431773314e+03,-1.061857536990352315e+02,4.962222222222223422e+01
2.391085413728283584e+03,-1.326331190006598604e+02,5.354505553819917196e+01
2.490155193247988336e+03,-1.902107082686821116e+02,6.642805555555555941e+01
2.556546476369032007e+03,-2.289172648908024712e+02,7.993916666666666515e+01
2.581055348668027818e+03,-2.430705393752288899e+02,8.383263862514999687e+01
2.650514603263533900e+03,-2.836711791612799516e+02,9.349472222222220807e+01
2.773058964758513412e+03,-3.544375515834120165e+02,1.059136793442248177e+02
2.926213242004710082e+03,-4.421459739908127631e+02,1.173724999999999881e+02
2.995672496600216164e+03,-4.827466137768638532e+02,1.230427240497747903e+02
3.096741057773959255e+03,-5.402544040514810604e+02,1.345947222222222308e+02
3.167164803699781714e+03,-5.798207535138105868e+02,1.484169444444444537e+02
3.221249301426274087e+03,-6.099515866531889969e+02,1.575820925027838655e+02
3.388569547734250591e+03,-7.021683702418503117e+02,1.766547169019296462e+02
3.430382159562893776e+03,-7.247228707255060272e+02,1.796169444444444423e+02
3.602804058496073594e+03,-8.197633293117120274e+02,1.906313007008377554e+02
3.675226586075934392e+03,-8.592598797806365383e+02,1.971169444444444707e+02
3.750682185633555036e+03,-8.996511225864725247e+02,2.111613888888889221e+02
3.860605666263659714e+03,-9.528472540826909380e+02,2.292819481328071731e+02
3.891110883524770543e+03,-9.667911315869023383e+02,2.322947222222222479e+02
4.157732511252015684e+03,-1.094564006752463229e+03,2.536280555555555907e+02
4.163833554704237940e+03,-1.097352782253305350e+03,2.541529021154018153e+02
4.278823788462843368e+03,-1.152373197920049506e+03,2.705724999999999909e+02
4.357172862011413599e+03,-1.189661569754720631e+03,2.830124876500751157e+02
4.455858747067391960e+03,-1.236245859925532841e+03,2.935058333333333280e+02
4.459926109368871948e+03,-1.238105043592761149e+03,2.939016991656509390e+02
4.564747937373775130e+03,-1.288477500091434649e+03,3.052807434608089920e+02
4.571848371653015420e+03,-1.291231376095574433e+03,3.061169444444444139e+02
4.648198663547547767e+03,-1.328589546923650687e+03,3.143282367690064234e+02
4.674671418003879808e+03,-1.341673631587653063e+03,3.172280555555555566e+02
4.738924321484074426e+03,-1.376452423895102129e+03,3.243450088015096071e+02
4.745025364936296683e+03,-1.379241199395944250e+03,3.250502777777778078e+02
